requirement_id,priority,implementation_status,source_document,source_line,source_section,text,verification_method,owner,release_gate,external_validation_status,waiver_status,waiver_expiration,implementation_files,test_ids,test_result_evidence_paths,dependency_ids,epic_ids,notes
GOVSCOPE-006,P0,NOT_STARTED,00-governance/002_scope_and_non_goals.md,135,15. Version 1.1 scope clarification,Product messaging shall describe splat-derived surfaces as interaction/visual derivatives unless independently promoted through an eligible metric workflow.,Marketing/UI review,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-006""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-007,P0,NOT_STARTED,00-governance/002_scope_and_non_goals.md,136,15. Version 1.1 scope clarification,"Proxy, collision, and navigation assets shall not be marketed as survey, code, fabrication, robotic-safety, or historical-proof products.",Policy/content test,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-007""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-008,P1,NOT_STARTED,00-governance/002_scope_and_non_goals.md,137,15. Version 1.1 scope clarification,The platform shall remain useful through native hybrid rendering and open fallbacks when no splat-to-surface provider is available.,Portability test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-008""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-009,P1,NOT_STARTED,00-governance/002_scope_and_non_goals.md,138,15. Version 1.1 scope clarification,A conversion capability shall not broaden the permitted use of its source data or representation.,Policy propagation test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-009""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPRIN-001,P0,NOT_STARTED,00-governance/003_product_principles.md,38,4. Normative requirements,Every automated transformation shall preserve a route back to source evidence.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPRIN-001""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPRIN-002,P0,NOT_STARTED,00-governance/003_product_principles.md,39,4. Normative requirements,"A user shall be able to export their original assets, canonical manifests, scene metadata, and open-format derivatives.",Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPRIN-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPRIN-003,P1,NOT_STARTED,00-governance/003_product_principles.md,40,4. Normative requirements,"Irreversible operations shall require explicit authority, impact preview, and auditable confirmation.",Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPRIN-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPRIN-004,P1,NOT_STARTED,00-governance/003_product_principles.md,41,4. Normative requirements,The implementation shall expose uncertainty and disagreement rather than compressing them into one unlabeled score.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPRIN-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPRIN-005,P1,NOT_STARTED,00-governance/003_product_principles.md,42,4. Normative requirements,New verticals shall reuse the canonical scene and evidence model unless an approved architecture decision demonstrates a necessary extension.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPRIN-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPERS-001,P0,NOT_STARTED,00-governance/004_stakeholders_and_personas.md,36,4. Normative requirements,Every privileged workflow shall name the accountable human role even when automation performs the work.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPERS-001""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPERS-002,P0,NOT_STARTED,00-governance/004_stakeholders_and_personas.md,37,4. Normative requirements,The user interface shall present task-focused capabilities instead of exposing infrastructure roles to ordinary users.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPERS-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPERS-003,P1,NOT_STARTED,00-governance/004_stakeholders_and_personas.md,38,4. Normative requirements,Consent and family governance roles shall remain separate from technical tenant administration.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPERS-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPERS-004,P1,NOT_STARTED,00-governance/004_stakeholders_and_personas.md,39,4. Normative requirements,A construction subcontractor shall not gain access to unrelated rooms or sensitive systems merely because they can access the project.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPERS-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVPERS-005,P1,NOT_STARTED,00-governance/004_stakeholders_and_personas.md,40,4. Normative requirements,Personas with accessibility needs shall be included in capture and viewer usability tests.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVPERS-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVOPEN-001,P0,VERIFIED,00-governance/006_open_questions_and_assumptions.md,36,4. Normative requirements,"The register shall include LingBot checkpoint licensing, supported hardware envelope, long-building drift, dynamic-scene behavior, and cross-session repeatability.",Controlled verification,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""governance/open-questions.json"",""tools/check_governance.py"",""requirements/blockers.md""]","[""tests/contract/test_governance_registers.py::test_open_question_register_is_falsifiable_owned_and_fail_safe""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/open-questions.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVOPEN-002,P0,VERIFIED,00-governance/006_open_questions_and_assumptions.md,37,4. Normative requirements,Each high-risk assumption shall have a falsifiable experiment and acceptance threshold.,Controlled verification,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""governance/open-questions.json"",""tools/check_governance.py"",""requirements/blockers.md""]","[""tests/contract/test_governance_registers.py::test_open_question_register_is_falsifiable_owned_and_fail_safe""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/open-questions.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVOPEN-003,P1,IN_PROGRESS,00-governance/006_open_questions_and_assumptions.md,38,4. Normative requirements,"An experiment shall retain input hashes, environment, exact model, output, analysis, and conclusion.",Automated test,SIP Engineering,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,"[""governance/open-questions.json"",""tools/check_governance.py"",""requirements/blockers.md""]","[""tests/contract/test_governance_registers.py::test_open_question_register_is_falsifiable_owned_and_fail_safe""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/open-questions.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","A controlled implementation/test boundary exists, but the normative requirement is broader than the retained evidence and remains in progress."
GOVOPEN-004,P1,VERIFIED,00-governance/006_open_questions_and_assumptions.md,39,4. Normative requirements,Decisions that depend on customer policy shall identify the policy owner and default-safe behavior.,Controlled verification,SIP Engineering,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,"[""governance/open-questions.json"",""tools/check_governance.py"",""requirements/blockers.md""]","[""tests/contract/test_governance_registers.py::test_open_question_register_is_falsifiable_owned_and_fail_safe""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/open-questions.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVOPEN-005,P1,VERIFIED,00-governance/006_open_questions_and_assumptions.md,40,4. Normative requirements,Unresolved P0 assumptions shall block release promotion.,Controlled verification,SIP Engineering,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,"[""governance/open-questions.json"",""tools/check_governance.py"",""requirements/blockers.md""]","[""tests/contract/test_governance_registers.py::test_open_question_register_is_falsifiable_owned_and_fail_safe""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/open-questions.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVRISK-001,P0,NOT_STARTED,00-governance/007_risk_register.md,36,4. Normative requirements,"The risk register shall link each critical risk to requirements, tests, monitors, and incident playbooks.",Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVRISK-001""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVRISK-002,P0,NOT_STARTED,00-governance/007_risk_register.md,37,4. Normative requirements,A risk score increase into the critical band shall trigger release review within one business day.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVRISK-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVRISK-003,P1,NOT_STARTED,00-governance/007_risk_register.md,38,4. Normative requirements,Known safety or consent failures shall not be reclassified as ordinary quality defects.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVRISK-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVRISK-004,P1,NOT_STARTED,00-governance/007_risk_register.md,39,4. Normative requirements,Risk acceptance shall expire and require renewal based on current evidence.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVRISK-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVRISK-005,P1,NOT_STARTED,00-governance/007_risk_register.md,40,4. Normative requirements,Closed risks shall retain closure evidence and residual-risk assessment.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVRISK-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVRISK-006,P0,VERIFIED,00-governance/007_risk_register.md,135,15. Version 1.1 hybrid-representation risks,"The risk register shall track proxy-authority confusion, provider data egress, protected-geometry loss, anchor drift, immersive safety, derivative redaction, and provider lock-in.",Risk review,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""governance/risk-register.json"",""governance/service-catalog.json"",""tools/check_governance.py"",""docs/runbooks/OPERATIONS_INCIDENTS.md""]","[""tests/contract/test_governance_registers.py::test_risk_register_covers_critical_hybrid_risks_and_one_day_review_policy""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/risk-register.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVRISK-007,P0,VERIFIED,00-governance/007_risk_register.md,136,15. Version 1.1 hybrid-representation risks,Critical hybrid risks shall have automated gates or explicit fail-safe modes rather than relying only on user training.,Control audit,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""governance/risk-register.json"",""governance/service-catalog.json"",""tools/check_governance.py"",""docs/runbooks/OPERATIONS_INCIDENTS.md""]","[""tests/contract/test_governance_registers.py::test_risk_register_covers_critical_hybrid_risks_and_one_day_review_policy""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/risk-register.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVRISK-008,P1,VERIFIED,00-governance/007_risk_register.md,137,15. Version 1.1 hybrid-representation risks,"Provider and algorithm risks shall be stratified by scene class and intended use, not represented by one global quality rating.",Benchmark/risk audit,SIP Engineering,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,"[""governance/risk-register.json"",""governance/service-catalog.json"",""tools/check_governance.py"",""docs/runbooks/OPERATIONS_INCIDENTS.md""]","[""tests/contract/test_governance_registers.py::test_risk_register_covers_critical_hybrid_risks_and_one_day_review_policy""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/risk-register.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVRISK-009,P1,VERIFIED,00-governance/007_risk_register.md,138,15. Version 1.1 hybrid-representation risks,A provider revocation or failure shall have a tested local/native-hybrid fallback and impact-analysis procedure.,Game-day test,SIP Engineering,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,"[""governance/risk-register.json"",""governance/service-catalog.json"",""tools/check_governance.py"",""docs/runbooks/OPERATIONS_INCIDENTS.md""]","[""tests/contract/test_governance_registers.py::test_risk_register_covers_critical_hybrid_risks_and_one_day_review_policy""]","[""build/reports/governance-check.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""governance/risk-register.json""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVLIC-001,P0,IN_PROGRESS,00-governance/008_license_and_model_governance.md,36,4. Normative requirements,"Each model manifest shall record provider, model name, revision, checkpoint hash, source URLs, license documents, permitted uses, prohibited uses, geographic or customer restrictions, approver, and expiry/review date.",Automated test,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""src/sip/model_governance.py"",""tools/check_governance.py"",""tools/license_check.py"",""tools/generate_third_party_lock.py"",""tools/release.py"",""third_party/manifest.lock.json""]","[""tests/contract/test_delivery_tools.py::test_license_gate_runs_directly_without_repository_root_pythonpath"",""tests/contract/test_delivery_tools.py::test_third_party_manifest_lock_is_deterministic_and_fail_closed""]","[""build/reports/license-gate.json"",""build/reports/release-report.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml""]","[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]","A controlled implementation/test boundary exists, but the normative requirement is broader than the retained evidence and remains in progress."
GOVLIC-002,P0,IN_PROGRESS,00-governance/008_license_and_model_governance.md,37,4. Normative requirements,"The scheduler shall reject production jobs whose model manifest is research-only, expired, revoked, or incomplete.",Automated test,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""src/sip/model_governance.py"",""tools/check_governance.py"",""tools/license_check.py"",""tools/generate_third_party_lock.py"",""tools/release.py"",""third_party/manifest.lock.json""]","[""tests/contract/test_delivery_tools.py::test_third_party_manifest_lock_is_deterministic_and_fail_closed""]","[""build/reports/license-gate.json"",""build/reports/release-report.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml""]","[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]","A controlled implementation/test boundary exists, but the normative requirement is broader than the retained evidence and remains in progress."
GOVLIC-003,P0,IN_PROGRESS,00-governance/008_license_and_model_governance.md,38,4. Normative requirements,Container builds shall produce an SBOM and license inventory including optional runtime downloads.,Controlled verification,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""src/sip/model_governance.py"",""tools/check_governance.py"",""tools/license_check.py"",""tools/generate_third_party_lock.py"",""tools/release.py"",""third_party/manifest.lock.json""]","[""tests/contract/test_delivery_tools.py::test_cyclonedx_sbom_covers_runtime_web_workers_and_governance""]","[""build/reports/license-gate.json"",""build/reports/release-report.json"",""build/reports/test-matrix.json"",""build/reports/tests/contract.xml""]","[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]","A controlled implementation/test boundary exists, but the normative requirement is broader than the retained evidence and remains in progress."
GOVLIC-004,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,39,4. Normative requirements,The system shall prevent an adapter from downloading an unapproved checkpoint or segmentation model at first run.,Automated test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-004""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-005,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,40,4. Normative requirements,"Dataset manifests shall document consent/provenance, license, transformations, retention, and whether outputs may be commercialized.",Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-005""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-006,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,41,4. Normative requirements,A model replacement shall run shadow benchmarks and cannot inherit the prior model's approval automatically.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-006""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-007,P0,NOT_STARTED,00-governance/008_license_and_model_governance.md,136,15. Version 1.1 spatial-provider governance,"Every surface/conversion provider shall record exact code/service version, dependencies, models, datasets, terms, output rights, deployment, data classes, purposes, and expiration.",Manifest test,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-007""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-008,P0,NOT_STARTED,00-governance/008_license_and_model_governance.md,137,15. Version 1.1 spatial-provider governance,"A top-level license shall not automatically approve submodules, checkpoints, datasets, binaries, samples, hosted processing, or outputs.",License audit,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-008""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-009,P0,NOT_STARTED,00-governance/008_license_and_model_governance.md,138,15. Version 1.1 spatial-provider governance,"Manual/hosted provider admission shall fail closed when processing locality, retention, training use, security, or commercial permission is unknown for non-public data.",Governance test,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-009""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-010,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,139,15. Version 1.1 spatial-provider governance,Provider replacement shall require new technical and legal approval and shall not inherit the predecessor's production status.,Replacement test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-010""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-011,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,140,15. Version 1.1 spatial-provider governance,Runtime and build systems shall prohibit undeclared provider/model/dependency downloads.,Supply-chain test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-011""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVLIC-012,P1,NOT_STARTED,00-governance/008_license_and_model_governance.md,141,15. Version 1.1 spatial-provider governance,Historical derivatives shall retain the exact approval evidence and terms snapshot applicable at creation.,Provenance audit,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVLIC-012""]",[],"[""FND-001"",""GOV-001""]","[""GOV-001"",""GOV-002""]",
GOVETH-001,P0,IMPLEMENTED_UNVERIFIED,00-governance/009_data_ethics_and_truthfulness.md,36,4. Normative requirements,"Every assertion shall identify source class and may identify confidence, corroboration, dispute, and authority independently.",Controlled verification,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""src/sip/spatial_data.py"",""src/sip/models.py"",""src/sip/policy.py"",""docs/security/THREAT_MODEL.md""]","[""tests/integration/test_spatial_truth_twin.py::test_datevid_datgeom_derivation_is_scoped_idempotent_and_truth_labeled"",""tests/integration/test_spatial_truth_twin.py::test_datgeom_manifest_inherits_classification_and_matches_representation""]","[""build/reports/test-matrix.json"",""build/reports/tests/integration.xml"",""schemas/events/event-catalog.json""]","[""DATA-002"",""FND-001""]","[""GOV-001"",""IAM-001""]","Implementation and automated checks exist, but production-environment or full-scope evidence is incomplete; this requirement is intentionally not marked verified."
